"
Nom du Dossier/ Numero de la fiche",LatLong,MRC,Eau Souterraine,Sol,etat ,Date de creation ou date de mise a jour
"Parc non-amenage, 5e Rue","45.6553015211
? -73.5587954425",Ville de Montreal,,"Cuivre (Cu), Hydrocarbures aromatiques polycycliques*",R : Non terminee,10/27/20
"Parc non-amenage, boul. Gouin","45.6699
? -73.5471",Ville de Montreal,,"Arsenic (As), Hydrocarbures aromatiques polycycliques*",R : Non terminee,10/27/20
"""Le Cours Chaboillez"" Secteur 1","45.4938888889
? -73.5647222222",Ville de Montreal,,"Baryum (Ba), Benzene (pot), Benzo(a)anthracene, Benzo(a)pyrene, Benzo(b+j+k)fluoranthene, Benzo(g,h,i)perylene, Chrysene, ethylbenzene (pot), Methyl naphtalenes (chacun), Plomb (Pb), Toluene (pot), Xylenes (o,m,p) (pot), Zinc (Zn)","R : Terminee en 2005
Q : > B (Total)",10/15/13
"""Le Cours Chaboillez"" Secteur 2","45.4944444444
? -73.5661111111",Ville de Montreal,,"Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50, Metaux*","R : Terminee en 2007
Q : > C",2/29/08
"""Le Cours Chaboillez"" Secteur 3","45.4955555556
? -73.565",Ville de Montreal,,"Acenaphtene, Benzo(a)anthracene, Benzo(a)pyrene, Benzo(b+j+k)fluoranthene, Benzo(c)phenanthrene, Benzo(g,h,i)perylene, Chrysene, Cuivre (Cu), Dibenzo(a,h)anthracene, Dibenzo(a,i)pyrene, Dibenzo(a,l)pyrene, Fluoranthene, Hydrocarbures petroliers C10 a C50, Indeno(1,2,3-cd)pyrene, Phenanthrene, Pyrene",R : Non terminee,10/15/13
"1 340 540, 1 341 293","45.50825
? -73.5701944444",Ville de Montreal,,"Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50",R : Non terminee,3/2/20
102752 Canada inc.,"45.4364166667
? -73.6807638889",Ville de Montreal,"Hydrocarbures aromatiques polycycliques*, Metaux*","Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50, Metaux*, Soufre total (S)",R : Non terminee,12/22/08
"10282, Rancourt","45.5732611111
? -73.6487611111",Ville de Montreal,,"Hydrocarbures petroliers C10 a C50, Methyl naphtalenes (chacun), Naphtalene (pot)","R : Terminee en 2011
Q : <= B",4/2/12
"1030, rue de La Montagne","45.4957481565
? -73.571227182",Ville de Montreal,Baryum (Ba),"Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50, Metaux*",R : Non terminee,11/27/19
"1050, rue de Salaberry","45.5438196074
? -73.6930042268",Ville de Montreal,Hydrocarbures petroliers C10 a C50,"Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50","R : Terminee en 2019
Q : <= B",10/8/20
"10e Avenue entre les rues Notre-Dame et William-Macdonald, arr. Lachine","45.4360462802
? -73.6726895369",Ville de Montreal,,"Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50",R : Non terminee,4/8/09
120 Georges V,"45.4368472222
? -73.6632361111",Ville de Montreal,,"Hydrocarbures aromatiques polycycliques*, Metaux*","R : Terminee en 2003
Q : Plage B-C",3/23/22
1201-1215 Phillips Square Development LP,"45.504122
? -73.567097",Ville de Montreal,Manganese (Mn),"Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50, Metaux*",R : Non terminee,5/15/20
"1220, Notre-Dame Ouest, Lot 1 853 414","45.4936877122
? -73.5638167323",Ville de Montreal,,"Benzene (pot), ethylbenzene (pot), Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50, Toluene (pot), Xylenes (o,m,p) (pot)",R : Non terminee,5/21/09
"12390, avenue Saint-Jacques","45.6199179646
? -73.6234767605",Ville de Montreal,,"Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50",R : Non terminee,1/14/14
"1260, rue Mill","45.488347622
? -73.5509289287",Ville de Montreal,"Hydrocarbures legers*, Hydrocarbures petroliers C10 a C50","Hydrocarbures aromatiques monocycliques * (pot), Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50, Soufre total (S), Zinc (Zn)","R : Terminee en 2017
Q : <= C",1/27/20
128-130 rue Murray (lot 1 853 639),"45.4913463896
? -73.5571222422",Ville de Montreal,,"Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50, Metaux*",R : Non terminee,3/11/22
1300-1314 rue Olier (lot 6 070 485),"45.4904
? -73.558725",Ville de Montreal,,"Hydrocarbures aromatiques polycycliques*, Metaux*","R : Terminee en 2019
Q : <= B",5/29/20
"1301-1303, rue de Montmorency Montreal, Quebec","45.485561
? -73.559955",Ville de Montreal,"Cuivre (Cu), Dioxines (PCDD), Furanes (PCDF)","Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50, Metaux*, Soufre total (S)",R : Non terminee,5/18/22
1314-1340 rue Olier,"45.4904
? -73.558725",Ville de Montreal,,"Hydrocarbures aromatiques monocycliques * (pot), Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50, Metaux*","R : Terminee en 2015
Q : Plage A-B",5/29/20
